    INFO: 2023-01-25 17:35:07,630:               log.py:   20: Logging to D:\Documentos\Unity Projects\Projeto CasoMoretti\mdpdf.log
   DEBUG: 2023-01-25 17:35:07,801:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,802:      pdf_renderer.py:  470: printSegment: Apartamentos do Prédio Principal
   DEBUG: 2023-01-25 17:35:07,802:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,803:      pdf_renderer.py:  470: printSegment: Dois velhinhos, moradores do prédio estão ao lado de fora, o jogador pode interagir
   DEBUG: 2023-01-25 17:35:07,803:      pdf_renderer.py:  470: printSegment: com eles.
   DEBUG: 2023-01-25 17:35:07,804:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\Apartamentos.png, 1919, 1079
   DEBUG: 2023-01-25 17:35:07,858:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,858:      pdf_renderer.py:  470: printSegment: Cidade
   DEBUG: 2023-01-25 17:35:07,859:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,860:      pdf_renderer.py:  470: printSegment: O jogador está na cidade e pode entrar em determinados locais.
   DEBUG: 2023-01-25 17:35:07,860:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\Bar.png, 1919, 1079
   DEBUG: 2023-01-25 17:35:07,913:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,913:      pdf_renderer.py:  470: printSegment: Puzzle Bar
   DEBUG: 2023-01-25 17:35:07,914:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,915:      pdf_renderer.py:  470: printSegment: Um dos puzzles que o jogador precisa resolver para adquirir informações.
   DEBUG: 2023-01-25 17:35:07,916:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\PuzzleBar.png, 1453, 1079
   DEBUG: 2023-01-25 17:35:07,959:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,959:      pdf_renderer.py:  470: printSegment: Mercadinho
   DEBUG: 2023-01-25 17:35:07,959:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:07,960:      pdf_renderer.py:  470: printSegment: Um dos locais em que o jogador pode encontrar pistas.
   DEBUG: 2023-01-25 17:35:07,960:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\Mercadinho.png, 1919, 1079
   DEBUG: 2023-01-25 17:35:08,014:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:08,015:      pdf_renderer.py:  470: printSegment: Puzzle Mercadinho
   DEBUG: 2023-01-25 17:35:08,016:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:08,016:      pdf_renderer.py:  470: printSegment: Um latão de lixo, será que tem algo em baixo desse lixo todo?
   DEBUG: 2023-01-25 17:35:08,017:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\PuzzleMercadinho.png, 1919, 1079
   DEBUG: 2023-01-25 17:35:08,082:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:08,083:      pdf_renderer.py:  470: printSegment: Créditos
   DEBUG: 2023-01-25 17:35:08,084:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:08,084:      pdf_renderer.py:  470: printSegment: Todos os desenvolvedores e orientadores do projeto.
   DEBUG: 2023-01-25 17:35:08,085:      pdf_renderer.py:  235: D:\Documentos\Unity Projects\Projeto CasoMoretti\Docs\Images\Credits.png, 1919, 1079
   DEBUG: 2023-01-25 17:35:08,145:      pdf_renderer.py:  470: printSegment: Tecnologias utilizadas
   DEBUG: 2023-01-25 17:35:08,146:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:08,146:      pdf_renderer.py:  470: printSegment: Unity (Game Engine)
   DEBUG: 2023-01-25 17:35:08,146:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2023-01-25 17:35:08,147:      pdf_renderer.py:  470: printSegment: Aseprite (Software de Pixel Art)
   DEBUG: 2023-01-25 17:35:08,147:      pdf_renderer.py:   53: 0, [1, 'Caso Moretti', 1, 68.0]
   DEBUG: 2023-01-25 17:35:08,148:      pdf_renderer.py:   53: 1, [2, 'Objetivo do desenvolvimento do jogo', 1, 172.0]
   DEBUG: 2023-01-25 17:35:08,148:      pdf_renderer.py:   53: 2, [2, 'Imagens do jogo', 1, 247.60000000000002]
   DEBUG: 2023-01-25 17:35:08,148:      pdf_renderer.py:   53: 3, [2, 'Tecnologias utilizadas', 6, 451.9433038040646]
